"Data","NomeMunicipio","CodigoMunicipio","Casos_Circ","Casos_Resp","Obitos_Circ","Obitos_Resp","Ano","CO","PM2p5","Temperatura","UmidRel"
2015-01-01,"Rio de Janeiro",330455,31,25,7,11,2015,170.847627600779,1.39284050959532,29.2473083496094,68.9645415568434
2015-01-02,"Rio de Janeiro",330455,38,27,7,8,2015,158.92045723831,13.9259430653738,30.0960021972656,67.4889097346645
2015-01-03,"Rio de Janeiro",330455,29,14,10,6,2015,161.286195066168,12.0382455115475,27.5787292480469,76.2654539666168
2015-01-04,"Rio de Janeiro",330455,25,18,10,8,2015,153.76149065105,16.477848419072,26.8075500488281,79.4409249155523
2015-01-05,"Rio de Janeiro",330455,51,25,6,9,2015,136.498471192681,13.8116780235009,25.9395080566406,82.8963362839494
2015-01-06,"Rio de Janeiro",330455,64,32,14,6,2015,106.843849323468,8.9936147418257,27.2202697753906,74.1445196209133
2015-01-07,"Rio de Janeiro",330455,133,28,7,7,2015,114.192015843173,1.5631389516102,28.7246032714844,64.6062413699392
2015-01-08,"Rio de Janeiro",330455,58,36,12,10,2015,124.49206110432,7.74694264293885,29.2949768066406,60.3652527032441
2015-01-09,"Rio de Janeiro",330455,45,29,10,8,2015,136.10586435675,6.52016396429644,30.1087890625,56.5135610179588
2015-01-10,"Rio de Janeiro",330455,28,7,8,1,2015,129.580215002534,7.74798714076042,30.06484375,53.4558616690266
2015-01-11,"Rio de Janeiro",330455,20,23,4,7,2015,149.254219650174,2.16804973973694,29.0211120605469,68.0825336946224
2015-01-12,"Rio de Janeiro",330455,56,36,7,11,2015,196.736493762728,14.0392106828813,29.6968322753906,63.2875785802107
2015-01-13,"Rio de Janeiro",330455,66,28,11,9,2015,202.557572492879,11.9162084644131,29.44765625,67.6535844860312
2015-01-14,"Rio de Janeiro",330455,43,38,7,9,2015,170.328178228374,16.2116435831194,29.6913391113281,67.249955913458
2015-01-15,"Rio de Janeiro",330455,45,26,8,10,2015,156.683427121607,22.251668951867,29.193505859375,70.3947996820842
2015-01-16,"Rio de Janeiro",330455,54,34,15,6,2015,129.183163721791,7.23845205996554,28.0670104980469,79.0037429334392
2015-01-17,"Rio de Janeiro",330455,25,18,8,3,2015,115.368422370921,9.7158663336927,29.6380859375,62.61858089166
2015-01-18,"Rio de Janeiro",330455,22,21,12,9,2015,182.646097357519,4.67374583479341,29.3242126464844,64.1205412392283
2015-01-19,"Rio de Janeiro",330455,33,32,3,11,2015,177.1701221287,16.2040247886353,29.2273193359375,68.6721698422015
2015-01-20,"Rio de Janeiro",330455,34,15,8,3,2015,167.611013068836,14.4906344701212,29.2824645996094,66.5151624690548
2015-01-21,"Rio de Janeiro",330455,46,35,7,11,2015,161.546587662542,7.583462746652,28.2659851074219,76.7537666058788
2015-01-22,"Rio de Janeiro",330455,37,27,8,5,2015,117.851499226163,14.2008769188351,26.2740417480469,82.9059617907621
2015-01-23,"Rio de Janeiro",330455,46,27,5,2,2015,99.6255167251547,7.62992957703545,25.59169921875,80.2432110299738
2015-01-24,"Rio de Janeiro",330455,26,17,3,5,2015,119.493236638846,23.4864341308594,26.2319274902344,79.2771269984597
2015-01-25,"Rio de Janeiro",330455,25,24,4,7,2015,163.289065824301,16.9706284580684,28.187890625,67.7362418282805
